
0x10000000	-91	-78	-5	9
0x10000004	56	90	123
0x0		16	0	2	23
0x4		0	96	2	147
0x8		0	0	3	19
0xc		0	0	3	147
0x10		0	16	1	147
0x14		64	98	132	51
0x18		0	83	68	99
0x1c		4	83	90	99
0x20		0	131	196	99
0x24		2	131	222	99
0x28		0	114	7	51
0x2c		0	50	7	179
0x30		0	7	5	3
0x34		0	7	133	131
0x38		0	165	196	99
0x3c		0	165	220	99
0x40		0	5	6	147
0x44		0	5	133	19
0x48		0	6	133	147
0x4c		0	167	0	35
0x50		0	183	128	35
0x54		0	19	131	147
0x58		0	17	129	147
0x5c		252	0	2	227
0x60		0	19	3	19
0x64		0	0	3	147
0x68		0	16	1	147
0x6c		250	0	4	227
